Date,Ticker,Open,High,Low,Close,Volume,Returns,Log_Returns
2020-01-02,ACB,6580.0,6638.0,6551.0,6638.0,1163109,,
2020-01-03,ACB,6638.0,6695.0,6609.0,6638.0,1055528,,0.0
2020-01-06,ACB,6638.0,6638.0,6493.0,6493.0,1286035,,-0.0220860397714331
2020-01-07,ACB,6493.0,6551.0,6493.0,6493.0,1050934,,0.0
2020-01-08,ACB,6493.0,6493.0,6349.0,6378.0,2304937,,-0.0178701049384838
2020-01-09,ACB,6407.0,6522.0,6407.0,6465.0,1422248,,0.0135484436359549
2020-01-10,ACB,6493.0,6667.0,6493.0,6551.0,2371501,,0.0132146975259185
2020-01-13,ACB,6609.0,6609.0,6551.0,6609.0,1523181,,0.0088146467385765
2020-01-14,ACB,6609.0,6782.0,6609.0,6782.0,2851982,,0.025839687215131
2020-01-15,ACB,6782.0,6782.0,6695.0,6724.0,1158657,,-0.0085888281570776
2020-01-16,ACB,6724.0,6926.0,6724.0,6897.0,2819687,,0.0254033189027849
2020-01-17,ACB,6926.0,6955.0,6840.0,6869.0,2706194,,-0.0040679992174096
2020-01-20,ACB,6869.0,7128.0,6869.0,7013.0,4443379,,0.0207470343230288
2020-01-21,ACB,7071.0,7128.0,7013.0,7071.0,1775816,,0.0082363430673304
2020-01-22,ACB,7099.0,7099.0,7013.0,7071.0,1574379,,0.0
2020-01-30,ACB,6984.0,7013.0,6695.0,6811.0,4250097,,-0.0374629603629223
2020-01-31,ACB,6782.0,6869.0,6609.0,6638.0,4243264,,-0.0257282389613984
2020-02-03,ACB,6436.0,6638.0,6262.0,6522.0,4430186,,-0.0176296359306554
2020-02-04,ACB,6609.0,6695.0,6493.0,6695.0,2397062,,0.0261799017760084
2020-02-05,ACB,6753.0,6782.0,6609.0,6638.0,2790275,,-0.0085502658453529
2020-02-06,ACB,6667.0,6926.0,6638.0,6926.0,2980981,,0.0424717326824472
2020-02-07,ACB,6926.0,6955.0,6811.0,6869.0,2007251,,-0.0082639107484856
2020-02-10,ACB,6869.0,6897.0,6753.0,6811.0,1271190,,-0.0084795829725631
2020-02-11,ACB,6811.0,6869.0,6782.0,6840.0,1862090,,0.0042487793752777
2020-02-12,ACB,6869.0,7417.0,6869.0,7388.0,10516207,,0.0770693307025345
2020-02-13,ACB,7388.0,7417.0,7244.0,7359.0,3773365,,-0.0039330083925315
2020-02-14,ACB,7359.0,7734.0,7359.0,7619.0,8018099,,0.0347210735464105
2020-02-17,ACB,7590.0,7705.0,7503.0,7619.0,3764464,,0.0
2020-02-18,ACB,7619.0,7821.0,7590.0,7677.0,6293208,,0.0075837183548888
2020-02-19,ACB,7648.0,7705.0,7475.0,7590.0,5091969,,-0.0113972544382228
2020-02-20,ACB,7590.0,7792.0,7532.0,7619.0,5578717,,0.0038135360833339
2020-02-21,ACB,7186.0,7677.0,7186.0,7417.0,6333926,,-0.0268704647364515
2020-02-24,ACB,7359.0,7388.0,6869.0,6926.0,10321149,,-0.0684922167741908
2020-02-25,ACB,6782.0,7244.0,6667.0,7244.0,8279866,,0.0448910940409367
2020-02-26,ACB,7215.0,7244.0,7013.0,7099.0,4519324,,-0.0202196109639181
2020-02-27,ACB,6984.0,7359.0,6984.0,7359.0,5309790,,0.0359701248872131
2020-02-28,ACB,6638.0,7301.0,6638.0,7273.0,5959642,,-0.0117551927720582
2020-03-02,ACB,7042.0,7359.0,7042.0,7273.0,3629494,,0.0
2020-03-03,ACB,7388.0,7475.0,7301.0,7388.0,6364207,,0.0156882011645898
2020-03-04,ACB,7388.0,7446.0,7301.0,7446.0,5047583,,0.0078199131135316
2020-03-05,ACB,7503.0,7619.0,7330.0,7388.0,5965022,,-0.0078199131135315
2020-03-06,ACB,7359.0,7359.0,7244.0,7301.0,3959935,,-0.0118457372630448
2020-03-09,ACB,7128.0,7128.0,6638.0,6724.0,16776046,,-0.0823281095275795
2020-03-10,ACB,6638.0,7157.0,6609.0,6984.0,7582331,,0.037938602990932
2020-03-11,ACB,7013.0,7042.0,6638.0,6753.0,7841324,,-0.0336349679445961
2020-03-12,ACB,6638.0,6638.0,6205.0,6378.0,11082125,,-0.0571322820048389
2020-03-13,ACB,6205.0,6493.0,5916.0,6349.0,9020091,,-0.004557248399553
2020-03-16,ACB,6349.0,6436.0,5974.0,6032.0,4614344,,-0.0512186894826579
2020-03-17,ACB,6003.0,6176.0,5801.0,6089.0,6568088,,0.009405233920782
2020-03-18,ACB,6147.0,6234.0,6032.0,6118.0,4944595,,0.0047513811022747
2020-03-19,ACB,6060.0,6147.0,5974.0,6089.0,4083896,,-0.0047513811022746
2020-03-20,ACB,6695.0,6695.0,6060.0,6176.0,3341564,,0.014186948096038
2020-03-23,ACB,6118.0,6176.0,5570.0,5570.0,10024177,,-0.1032757587832824
2020-03-24,ACB,5512.0,5743.0,5512.0,5656.0,4315784,,0.0153218746550789
2020-03-25,ACB,5772.0,6003.0,5772.0,5916.0,4115341,,0.0449436162542817
2020-03-26,ACB,5945.0,5945.0,5685.0,5685.0,3631529,,-0.039829417646054
2020-03-27,ACB,5685.0,5801.0,5628.0,5685.0,3980631,,0.0
2020-03-30,ACB,5628.0,5628.0,5166.0,5252.0,5925098,,-0.0792221707619496
2020-03-31,ACB,5252.0,5426.0,5022.0,5137.0,4532153,,-0.0221397049554189
2020-04-01,ACB,4646.0,5483.0,4646.0,5368.0,2761168,,0.0439861481842497
2020-04-03,ACB,5224.0,5599.0,5224.0,5512.0,3574343,,0.0264721340419767
2020-04-06,ACB,5599.0,6003.0,5512.0,5945.0,5757259,,0.0756229964313877
2020-04-07,ACB,6060.0,6060.0,5772.0,5858.0,4467621,,-0.0147422817372034
2020-04-08,ACB,6436.0,6436.0,5685.0,5830.0,2331536,,-0.0047912480431407
2020-04-09,ACB,6407.0,6407.0,5772.0,5772.0,4068966,,-0.0099983594507765
